['1/200', '0.965107', '0.034893', '0.034147', '0.955828', '0.044172', '0.043047', '0:01:00']
['2/200', '0.955315', '0.044685', '0.042286', '0.951082', '0.048918', '0.047176', '0:00:57']
['3/200', '0.948577', '0.051500', '0.049493', '0.940735', '0.059421', '0.056770', '0:00:57']
['4/200', '0.939691', '0.060453', '0.057571', '0.940149', '0.060109', '0.061412', '0:00:57']
['5/200', '0.925743', '0.074461', '0.070193', '0.928773', '0.071580', '0.071764', '0:00:57']
['6/200', '0.906171', '0.094100', '0.088063', '0.900821', '0.099982', '0.099302', '0:00:57']
['7/200', '0.868548', '0.131725', '0.123077', '0.859177', '0.141771', '0.156501', '0:00:58']
['8/200', '0.828210', '0.172076', '0.161303', '0.806051', '0.194611', '0.172904', '0:00:57']
['9/200', '0.770650', '0.229577', '0.216105', '0.748195', '0.252243', '0.246649', '0:00:57']
['10/200', '0.735923', '0.264264', '0.253658', '0.833054', '0.168485', '0.178371', '0:00:58']
['11/200', '0.742758', '0.257456', '0.251342', '0.681595', '0.320078', '0.207308', '0:00:58']
['12/200', '0.719933', '0.280273', '0.274899', '0.564851', '0.435482', '0.442895', '0:00:57']
['13/200', '0.706799', '0.293369', '0.289644', '0.572677', '0.427463', '0.430785', '0:00:57']
['14/200', '0.719094', '0.281091', '0.278790', '0.696387', '0.304447', '0.376729', '0:00:57']
['15/200', '0.703996', '0.296183', '0.293410', '0.746749', '0.254424', '0.240114', '0:00:57']
['16/200', '0.682263', '0.318016', '0.316035', '0.511915', '0.488208', '0.482336', '0:00:57']
['17/200', '0.693818', '0.306376', '0.303953', '0.617414', '0.382963', '0.362401', '0:00:57']
['18/200', '0.687319', '0.312837', '0.310045', '0.522649', '0.477480', '0.468049', '0:00:57']
['19/200', '0.709230', '0.290993', '0.287249', '0.826151', '0.173912', '0.153045', '0:00:57']
['20/200', '0.687921', '0.312252', '0.311757', '0.567541', '0.432766', '0.420345', '0:00:57']
['21/200', '0.683787', '0.316374', '0.315836', '0.550562', '0.449709', '0.432483', '0:00:57']
['22/200', '0.672711', '0.327454', '0.326606', '0.798145', '0.204084', '0.211715', '0:00:57']
['23/200', '0.659882', '0.340281', '0.337980', '0.547850', '0.452803', '0.446728', '0:00:57']
['24/200', '0.677057', '0.323179', '0.322291', '0.591201', '0.408909', '0.397133', '0:00:57']
['25/200', '0.670658', '0.329580', '0.327673', '0.541739', '0.458491', '0.466072', '0:00:57']
['26/200', '0.681683', '0.318570', '0.317573', '0.531349', '0.468761', '0.449800', '0:00:58']
['27/200', '0.667512', '0.332714', '0.329493', '0.609047', '0.391292', '0.400077', '0:00:58']
['28/200', '0.666148', '0.334035', '0.332198', '0.576294', '0.424195', '0.436331', '0:00:57']
['29/200', '0.666310', '0.333878', '0.333432', '0.649527', '0.351090', '0.347084', '0:00:58']
['30/200', '0.652295', '0.347898', '0.346718', '0.595092', '0.405033', '0.430097', '0:00:57']
['31/200', '0.762606', '0.237674', '0.236948', '0.994185', '0.006102', '0.008319', '0:00:58']
['32/200', '0.740742', '0.259705', '0.257716', '0.515392', '0.484827', '0.473408', '0:00:57']
['33/200', '0.659077', '0.341118', '0.339385', '0.529829', '0.471114', '0.481041', '0:00:58']
['34/200', '0.668190', '0.332085', '0.331341', '0.770294', '0.235202', '0.261346', '0:00:57']
['35/200', '0.671186', '0.329118', '0.326721', '0.600940', '0.399648', '0.397482', '0:00:58']
['36/200', '0.652465', '0.347790', '0.345008', '0.551073', '0.449344', '0.456483', '0:00:57']
['37/200', '0.652088', '0.348277', '0.346449', '0.532222', '0.467982', '0.466948', '0:00:57']
['38/200', '0.647512', '0.352763', '0.351317', '0.638462', '0.362245', '0.373952', '0:00:57']
['39/200', '0.649162', '0.351122', '0.350294', '0.583809', '0.416540', '0.414558', '0:00:57']
['40/200', '0.640459', '0.359874', '0.358380', '0.549203', '0.451170', '0.458873', '0:00:57']
