['1/200', '0.961208', '0.038792', '0.038398', '0.949496', '0.050504', '0.052115', '0:01:12']
['2/200', '0.947950', '0.052050', '0.050886', '0.935016', '0.064984', '0.063635', '0:01:10']
['3/200', '0.937963', '0.062056', '0.059992', '0.930962', '0.069054', '0.063486', '0:01:12']
['4/200', '0.923650', '0.076391', '0.073242', '0.901914', '0.098139', '0.090094', '0:01:11']
['5/200', '0.905988', '0.094062', '0.089663', '0.900078', '0.099972', '0.095284', '0:01:11']
['6/200', '0.880920', '0.119148', '0.112642', '0.896082', '0.104143', '0.105112', '0:01:11']
['7/200', '0.839214', '0.160849', '0.151663', '0.839177', '0.160911', '0.154039', '0:01:12']
['8/200', '0.789051', '0.211031', '0.199170', '0.753264', '0.246890', '0.228852', '0:01:12']
['9/200', '0.769592', '0.230519', '0.221716', '0.664783', '0.335556', '0.301206', '0:01:11']
['10/200', '0.728655', '0.271419', '0.263405', '0.753030', '0.247276', '0.250667', '0:01:11']
['11/200', '0.703099', '0.296962', '0.290904', '0.728867', '0.271225', '0.282305', '0:01:12']
['12/200', '0.713736', '0.286338', '0.282865', '0.604240', '0.395827', '0.401137', '0:01:13']
['13/200', '0.712996', '0.287073', '0.283917', '0.477579', '0.522482', '0.518779', '0:01:12']
['14/200', '0.709792', '0.290264', '0.289018', '0.595577', '0.404993', '0.351829', '0:01:12']
['15/200', '0.717497', '0.282587', '0.279641', '0.648289', '0.351754', '0.361662', '0:01:11']
['16/200', '0.726107', '0.273959', '0.272250', '0.990418', '0.010066', '0.010249', '0:01:12']
['17/200', '0.783048', '0.217015', '0.215573', '0.547711', '0.452329', '0.450785', '0:01:11']
['18/200', '0.699123', '0.300930', '0.299618', '0.702108', '0.298045', '0.295599', '0:01:12']
['19/200', '0.699326', '0.300736', '0.299341', '0.699904', '0.300191', '0.296114', '0:01:11']
['20/200', '0.691521', '0.308521', '0.307754', '0.631315', '0.368736', '0.373103', '0:01:11']
['21/200', '0.699308', '0.300748', '0.300712', '0.753706', '0.246312', '0.248055', '0:01:12']
['22/200', '0.696995', '0.303048', '0.302810', '0.578868', '0.421159', '0.423330', '0:01:11']
['23/200', '0.682284', '0.317752', '0.317147', '0.672067', '0.328021', '0.330892', '0:01:11']
['24/200', '0.693864', '0.306185', '0.305698', '0.664538', '0.335504', '0.333972', '0:01:12']
['25/200', '0.673729', '0.326315', '0.325533', '0.556770', '0.443298', '0.441906', '0:01:11']
['26/200', '0.671032', '0.329007', '0.328149', '0.616220', '0.383821', '0.371827', '0:01:11']
['27/200', '0.669168', '0.330885', '0.331044', '0.600698', '0.399364', '0.396670', '0:01:12']
['28/200', '0.677626', '0.322409', '0.322419', '0.599711', '0.400437', '0.403792', '0:01:12']
['29/200', '0.656683', '0.343351', '0.343782', '0.622517', '0.377617', '0.381353', '0:01:12']
['30/200', '0.670277', '0.329766', '0.329407', '0.601815', '0.398242', '0.402048', '0:01:11']
['31/200', '0.674494', '0.325543', '0.325408', '0.614519', '0.385566', '0.387518', '0:01:11']
['32/200', '0.655453', '0.344590', '0.344665', '0.556871', '0.443260', '0.446944', '0:01:11']
['33/200', '0.645105', '0.354940', '0.354842', '0.628726', '0.371469', '0.388345', '0:01:12']
['34/200', '0.638485', '0.361569', '0.361446', '0.603752', '0.396287', '0.394801', '0:01:12']
['35/200', '0.666034', '0.334027', '0.333574', '0.576991', '0.423099', '0.424751', '0:01:11']
['36/200', '0.642819', '0.357242', '0.356719', '0.535758', '0.464329', '0.460600', '0:01:12']
['37/200', '0.640398', '0.359665', '0.359583', '0.811582', '0.189289', '0.190626', '0:01:12']
['38/200', '0.638122', '0.361931', '0.361807', '0.703583', '0.296439', '0.289902', '0:01:12']
['39/200', '0.654498', '0.345567', '0.345034', '0.593677', '0.406437', '0.408732', '0:01:11']
['40/200', '0.638159', '0.361895', '0.361790', '0.582567', '0.417546', '0.419778', '0:01:11']
['41/200', '0.625639', '0.374426', '0.374640', '0.536721', '0.463312', '0.461651', '0:01:12']
['42/200', '0.636577', '0.363488', '0.363069', '0.643505', '0.356634', '0.364991', '0:01:11']
['43/200', '0.634333', '0.365732', '0.366063', '0.656495', '0.343719', '0.338350', '0:01:11']
['44/200', '0.628459', '0.371596', '0.371094', '0.543122', '0.456928', '0.456456', '0:01:11']
['45/200', '0.628391', '0.371675', '0.371686', '0.530865', '0.469228', '0.466995', '0:01:11']
['46/200', '0.627939', '0.372137', '0.371719', '0.596138', '0.404007', '0.403836', '0:01:12']
['47/200', '0.627131', '0.372941', '0.372843', '0.495407', '0.504656', '0.506503', '0:01:11']
['48/200', '0.618486', '0.381609', '0.381616', '0.531072', '0.469128', '0.467309', '0:01:12']
['49/200', '0.622752', '0.377318', '0.377145', '0.567440', '0.432591', '0.431275', '0:01:12']
['50/200', '0.621153', '0.378938', '0.378543', '0.504492', '0.495550', '0.496336', '0:01:12']
['51/200', '0.619272', '0.380844', '0.380767', '0.510242', '0.489843', '0.490254', '0:01:12']
['52/200', '0.598328', '0.401773', '0.402086', '0.527975', '0.472113', '0.470123', '0:01:11']
['53/200', '0.608981', '0.391108', '0.391047', '0.500655', '0.499422', '0.498920', '0:01:12']
['54/200', '0.600447', '0.399639', '0.399367', '0.574877', '0.425276', '0.425304', '0:01:13']
['55/200', '0.612615', '0.387463', '0.387778', '0.515550', '0.484528', '0.482851', '0:01:12']
['56/200', '0.611765', '0.388311', '0.388054', '0.510265', '0.489846', '0.486823', '0:01:12']
['57/200', '0.620427', '0.379662', '0.379551', '0.573013', '0.427187', '0.426082', '0:01:12']
['58/200', '0.600762', '0.399325', '0.398857', '0.562384', '0.437721', '0.438003', '0:01:12']
['59/200', '0.609300', '0.390790', '0.390632', '0.492352', '0.507725', '0.506971', '0:01:12']
['60/200', '0.606414', '0.393708', '0.393013', '0.571897', '0.428427', '0.430031', '0:01:12']
['61/200', '0.596601', '0.403477', '0.402885', '0.479551', '0.520531', '0.521929', '0:01:12']
['62/200', '0.602599', '0.397499', '0.397259', '0.514691', '0.485431', '0.485157', '0:01:11']
['63/200', '0.589664', '0.410431', '0.410258', '0.508454', '0.491677', '0.489313', '0:01:11']
['64/200', '0.603952', '0.396171', '0.395873', '0.500154', '0.499936', '0.500135', '0:01:12']
['65/200', '0.592257', '0.407868', '0.407799', '0.473702', '0.526461', '0.529196', '0:01:12']
['66/200', '0.591822', '0.408288', '0.408696', '0.513784', '0.486401', '0.486728', '0:01:11']
['67/200', '0.586999', '0.413101', '0.413063', '0.486145', '0.514135', '0.517099', '0:01:11']
['68/200', '0.591512', '0.408595', '0.408729', '0.540030', '0.460349', '0.464620', '0:01:11']
['69/200', '0.595564', '0.404538', '0.404017', '0.488203', '0.511893', '0.510633', '0:01:12']
['70/200', '0.584568', '0.415545', '0.415223', '0.490004', '0.510162', '0.508050', '0:01:12']
['71/200', '0.578595', '0.421539', '0.421817', '0.463544', '0.536547', '0.535800', '0:01:11']
['72/200', '0.581516', '0.418590', '0.418530', '0.474660', '0.525450', '0.527324', '0:01:11']
['73/200', '0.566666', '0.433476', '0.433489', '0.483969', '0.516249', '0.516581', '0:01:12']
['74/200', '0.568984', '0.431138', '0.431063', '0.522623', '0.477617', '0.478897', '0:01:11']
['75/200', '0.572541', '0.427638', '0.427253', '0.459157', '0.541082', '0.538324', '0:01:11']
['76/200', '0.575319', '0.424841', '0.424613', '0.492567', '0.507603', '0.507010', '0:01:12']
['77/200', '0.581253', '0.418885', '0.418929', '0.551492', '0.448894', '0.451517', '0:01:12']
['78/200', '0.575552', '0.424575', '0.424010', '0.505584', '0.494712', '0.489046', '0:01:12']
['79/200', '0.578515', '0.421655', '0.422258', '0.480291', '0.519808', '0.518179', '0:01:11']
['80/200', '0.572719', '0.427444', '0.427185', '0.478325', '0.521830', '0.520001', '0:01:17']
['81/200', '0.570675', '0.429468', '0.429019', '0.504582', '0.495576', '0.496173', '0:01:12']
['82/200', '0.564751', '0.435415', '0.435875', '0.469425', '0.530692', '0.528849', '0:01:11']
['83/200', '0.570838', '0.429395', '0.428780', '0.473709', '0.526493', '0.527303', '0:01:11']
['84/200', '0.567491', '0.432684', '0.432102', '0.472287', '0.527896', '0.528670', '0:01:11']
['85/200', '0.556153', '0.443999', '0.443828', '0.477645', '0.522825', '0.525442', '0:01:12']
['86/200', '0.570625', '0.429546', '0.428882', '0.485845', '0.514412', '0.512269', '0:01:12']
['87/200', '0.560651', '0.439551', '0.439486', '0.449996', '0.550139', '0.548987', '0:01:11']
