['1/200', '0.963265', '0.948578', '0:00:25']
['2/200', '0.949356', '0.942295', '0:00:21']
['3/200', '0.940380', '0.926150', '0:00:21']
['4/200', '0.930539', '0.924893', '0:00:21']
['5/200', '0.916922', '0.891507', '0:00:21']
['6/200', '0.893366', '0.901854', '0:00:21']
['7/200', '0.859442', '0.774513', '0:00:21']
['8/200', '0.823564', '0.909038', '0:00:21']
['9/200', '0.769509', '0.671209', '0:00:21']
['10/200', '0.760031', '0.688985', '0:00:21']
['11/200', '0.749857', '0.591191', '0:00:21']
['12/200', '0.724575', '0.678395', '0:00:21']
['13/200', '0.711287', '0.726313', '0:00:21']
['14/200', '0.739211', '0.533570', '0:00:21']
['15/200', '0.715072', '0.729440', '0:00:21']
['16/200', '0.708729', '0.621567', '0:00:21']
['17/200', '0.716790', '0.665256', '0:00:21']
['18/200', '0.704264', '0.552026', '0:00:21']
['19/200', '0.694650', '0.669277', '0:00:21']
['20/200', '0.696312', '0.734919', '0:00:21']
['21/200', '0.688750', '0.641317', '0:00:21']
['22/200', '0.722321', '0.545849', '0:00:21']
['23/200', '0.673691', '0.593119', '0:00:21']
['24/200', '0.672648', '0.589419', '0:00:21']
['25/200', '0.685926', '0.501259', '0:00:21']
['26/200', '0.682745', '0.718171', '0:00:21']
['27/200', '0.668735', '0.752188', '0:00:21']
['28/200', '0.676643', '0.587184', '0:00:21']
['29/200', '0.678304', '0.524843', '0:00:21']
['30/200', '0.658901', '0.642482', '0:00:21']
['31/200', '0.678272', '0.645805', '0:00:21']
['32/200', '0.671480', '0.514392', '0:00:21']
['33/200', '0.669323', '0.649358', '0:00:21']
['34/200', '0.658190', '0.538576', '0:00:21']
['35/200', '0.647088', '0.780913', '0:00:21']
['36/200', '0.648706', '0.563320', '0:00:21']
['37/200', '0.655783', '0.583791', '0:00:21']
['38/200', '0.649006', '0.579118', '0:00:21']
['39/200', '0.650415', '0.559510', '0:00:21']
['40/200', '0.648690', '0.554325', '0:00:21']
['41/200', '0.649127', '0.532109', '0:00:21']
['42/200', '0.622686', '0.508706', '0:00:21']
['43/200', '0.645419', '0.687101', '0:00:21']
['44/200', '0.632595', '0.545657', '0:00:21']
['45/200', '0.625601', '0.506239', '0:00:21']
['46/200', '0.633683', '0.590634', '0:00:21']
['47/200', '0.625941', '0.533009', '0:00:21']
['48/200', '0.631463', '0.544096', '0:00:21']
['49/200', '0.634054', '0.567808', '0:00:21']
['50/200', '0.619505', '0.517725', '0:00:21']
['51/200', '0.624880', '0.499936', '0:00:21']
['52/200', '0.632385', '0.514195', '0:00:21']
['53/200', '0.628106', '0.512257', '0:00:21']
['54/200', '0.610893', '0.595156', '0:00:21']
['55/200', '0.624959', '0.535261', '0:00:21']
['56/200', '0.614693', '0.573716', '0:00:21']
['57/200', '0.599757', '0.510347', '0:00:21']
['58/200', '0.625931', '0.517175', '0:00:21']
['59/200', '0.614675', '0.554772', '0:00:21']
['60/200', '0.614510', '0.539882', '0:00:21']
['61/200', '0.602309', '0.502167', '0:00:21']
['62/200', '0.607531', '0.557315', '0:00:21']
['63/200', '0.605959', '0.489599', '0:00:21']
['64/200', '0.600327', '0.492119', '0:00:22']
['65/200', '0.594188', '0.515800', '0:00:22']
['66/200', '0.598132', '0.500794', '0:00:22']
['67/200', '0.593577', '0.511128', '0:00:21']
['68/200', '0.591595', '0.504551', '0:00:21']
['69/200', '0.599724', '0.540348', '0:00:21']
['70/200', '0.615281', '0.466577', '0:00:21']
['71/200', '0.589179', '0.559438', '0:00:21']
['72/200', '0.581458', '0.637843', '0:00:21']
['73/200', '0.592031', '0.494497', '0:00:21']
['74/200', '0.585073', '0.541432', '0:00:21']
['75/200', '0.595452', '0.475076', '0:00:21']
['76/200', '0.592190', '0.444775', '0:00:21']
